,game_id,vencedor_id,perdedor_id
848,2017021165,52,18
849,2017021169,13,2
850,2017021182,52,6
851,2017021193,9,13
852,2017021194,18,28
853,2017021203,21,16
854,2017021216,20,22
855,2017021232,52,8
856,2017021238,9,7
857,2017021243,4,12
858,2017021244,18,15
859,2017021253,5,9
860,2017030126,10,6
861,2017030143,5,4
862,2017030144,5,4
863,2017030156,18,21
864,2017030174,54,26
865,2017030232,18,52
866,2017030243,54,28
867,2017030315,14,15
868,2017030316,15,14
869,2018020003,23,20
870,2018020006,18,3
871,2018020014,4,54
872,2018020029,12,3
873,2018020040,52,26
874,2018020060,12,30
875,2018020090,5,10
876,2018020107,9,8
877,2018020110,30,14
878,2018020135,7,8
879,2018020158,5,23
880,2018020197,22,17
881,2018020226,24,20
882,2018020245,6,10
883,2018020250,17,12
884,2018020264,7,14
885,2018020276,54,24
886,2018020296,3,13
887,2018020297,29,12
888,2018020298,8,23
889,2018020313,26,19
890,2018020323,12,10
891,2018020327,30,9
892,2018020346,28,23
893,2018020347,15,3
894,2018020352,2,12
895,2018020367,7,28
896,2018020431,29,4
897,2018020438,54,16
898,2018020462,17,26
899,2018020463,14,3
900,2018020482,14,10
901,2018020512,24,5
902,2018020513,29,54
903,2018020525,2,53
904,2018020550,26,28
905,2018020553,15,9
906,2018020555,53,21
907,2018020582,10,29
908,2018020591,13,4
909,2018020600,1,23
910,2018020606,13,17
911,2018020620,22,53
912,2018020623,7,13
913,2018020633,21,3
914,2018020647,12,9
915,2018020651,22,24
916,2018020710,22,7
917,2018020711,2,19
918,2018020719,14,25
919,2018020752,2,24
920,2018020761,53,9
921,2018020762,16,2
922,2018020764,17,22
923,2018020771,4,52
924,2018020780,52,29
925,2018020802,6,15
926,2018020826,26,4
927,2018020829,9,24
928,2018020834,16,23
929,2018020846,10,8
930,2018020857,16,17
931,2018020883,16,1
932,2018020899,12,25
933,2018020906,1,7
934,2018020923,18,25
935,2018020927,20,2
936,2018020942,21,16
937,2018020952,10,8
938,2018020955,2,23
939,2018020956,15,3
940,2018020961,53,52
941,2018020995,12,19
942,2018021003,5,8
943,2018021031,19,24
944,2018021038,16,7
945,2018021041,53,20
946,2018021043,28,8
947,2018021046,52,12
948,2018021057,16,25
949,2018021058,53,26
950,2018021065,14,10
951,2018021075,8,17
952,2018021076,53,19
953,2018021079,24,18
954,2018021111,21,1
955,2018021113,2,30
956,2018021131,20,29
957,2018021133,14,15
958,2018021154,3,10
959,2018021165,2,53
960,2018021174,18,30
961,2018021184,53,16
962,2018021194,25,22
963,2018021202,30,54
964,2018021223,10,2
965,2018021237,23,28
966,2018021239,9,3
967,2018021241,24,20
968,2018021266,18,16
969,2018021271,28,21
970,2018030123,10,6
971,2018030131,15,12
972,2018030187,28,54
973,2018030215,6,29
974,2018030221,12,2
975,2018030236,19,25
976,2018030241,28,21
977,2018030244,21,28
978,2018030245,28,21
979,2018030246,21,28
980,2018030416,6,19
